customer_id,customer_name,customer_segment,created_date
CUST001,Nexus Solutions,Strategic,2024-05-05
CUST002,Nova Technologies,Strategic,2024-12-12
CUST003,Prism Systems,Strategic,2024-01-17
CUST004,Apex Systems,SMB,2024-09-15
CUST005,Legacy Solutions,Strategic,2025-01-01
CUST006,Prism Partners,SMB,2024-10-28
CUST007,Alpha Solutions,Strategic,2024-03-22
CUST008,Summit Group,SMB,2024-04-20
CUST009,Pinnacle Systems,SMB,2024-02-19
CUST010,Aegis Group,Strategic,2025-02-17
CUST011,Vertex Logistics,Strategic,2025-05-13
CUST012,Vanguard Systems,Strategic,2025-02-28
CUST013,Legacy Group,Strategic,2024-12-26
CUST014,Quantum Solutions,Strategic,2025-01-30
CUST015,Zenith Systems,Enterprise,2025-03-19
CUST016,Nexus Partners,SMB,2024-11-21
CUST017,Aegis Technologies,SMB,2024-04-17
CUST018,Alpha Systems,Strategic,2024-03-28
CUST019,Prism Corp,SMB,2024-07-13
CUST020,Alpha Services,SMB,2024-06-15
CUST021,Vertex Corp,Enterprise,2025-02-16
CUST022,Pinnacle Partners,SMB,2024-04-18
CUST023,Beacon Group,SMB,2024-09-12
CUST024,Vanguard Logistics,SMB,2024-03-12
CUST025,Nova Services,Strategic,2025-01-17
CUST026,Beacon Partners,Enterprise,2024-07-23
CUST027,Aegis Corp,Enterprise,2024-03-11
CUST028,Infinity Logistics,SMB,2024-01-25
CUST029,Nexus Technologies,Strategic,2025-02-09
CUST030,Summit Ventures,SMB,2024-07-14
CUST031,Legacy Logistics,Strategic,2025-05-12
CUST032,Prism Solutions,Strategic,2024-02-28
CUST033,Prism Industries,Strategic,2024-06-23
CUST034,Nexus Industries,SMB,2024-08-20
CUST035,Apex Industries,Enterprise,2025-01-25
CUST036,Core Services,Enterprise,2025-03-21
CUST037,Zenith Services,Strategic,2024-03-19
CUST038,Aegis Technologies,Strategic,2025-02-02
CUST039,Infinity Solutions,Strategic,2024-09-07
CUST040,Apex Systems,Enterprise,2025-03-25
CUST041,Zenith Corp,SMB,2025-03-25
CUST042,Beacon Systems,SMB,2024-09-05
CUST043,Quantum Services,Strategic,2024-03-06
CUST044,Echo Services,SMB,2024-09-27
CUST045,Legacy Partners,Enterprise,2025-04-20
CUST046,Prism Corp,Strategic,2024-07-23
CUST047,Aegis Logistics,Enterprise,2024-08-19
CUST048,Nexus Corp,SMB,2024-06-22
CUST049,Apex Ventures,Strategic,2024-10-28
CUST050,Nova Solutions,SMB,2024-11-19
CUST051,Vertex Corp,SMB,2024-01-17
CUST052,Pinnacle Systems,Strategic,2024-05-22
CUST053,Echo Corp,Strategic,2025-01-05
CUST054,Beacon Ventures,SMB,2025-02-05
CUST055,Echo Partners,SMB,2024-02-19
CUST056,Summit Group,SMB,2024-08-27
CUST057,Vertex Systems,SMB,2025-01-07
CUST058,Pinnacle Systems,SMB,2024-04-07
CUST059,Prism Logistics,SMB,2024-04-03
CUST060,Alpha Logistics,SMB,2025-04-17
CUST061,Quantum Logistics,Enterprise,2025-03-14
CUST062,Prism Systems,SMB,2024-10-03
CUST063,Apex Systems,Enterprise,2025-03-10
CUST064,Nova Technologies,SMB,2024-09-03
CUST065,Global Partners,Enterprise,2024-03-25
CUST066,Vanguard Solutions,Enterprise,2024-05-15
CUST067,Matrix Industries,SMB,2025-05-05
CUST068,Prism Logistics,SMB,2024-05-31
CUST069,Global Solutions,Strategic,2024-10-04
CUST070,Vertex Group,SMB,2024-10-26
CUST071,Echo Services,Enterprise,2024-09-28
CUST072,Core Solutions,Enterprise,2024-02-11
CUST073,Core Systems,Strategic,2024-12-11
CUST074,Nova Partners,SMB,2025-03-31
CUST075,Beacon Corp,Strategic,2024-01-21
CUST076,Legacy Systems,SMB,2024-10-25
CUST077,Beacon Services,SMB,2024-05-13
CUST078,Global Group,SMB,2024-07-21
CUST079,Stellar Industries,SMB,2025-04-20
CUST080,Quantum Solutions,SMB,2024-10-15
CUST081,Nexus Systems,Strategic,2024-09-16
CUST082,Alpha Technologies,Enterprise,2025-03-27
CUST083,Quantum Corp,SMB,2024-03-21
CUST084,Matrix Services,Strategic,2024-11-09
CUST085,Infinity Solutions,Strategic,2024-10-10
CUST086,Zenith Systems,Enterprise,2024-03-09
CUST087,Alpha Systems,Enterprise,2025-01-15
CUST088,Prism Technologies,SMB,2024-11-05
CUST089,Global Group,SMB,2024-11-20
CUST090,Alpha Services,SMB,2025-04-08
CUST091,Vertex Systems,Strategic,2025-02-28
CUST092,Alpha Solutions,SMB,2025-01-29
CUST093,Stellar Industries,SMB,2024-08-14
CUST094,Prism Partners,Strategic,2024-02-27
CUST095,Quantum Technologies,Strategic,2025-03-03
CUST096,Aegis Ventures,Strategic,2024-08-08
CUST097,Stellar Solutions,SMB,2025-04-05
CUST098,Vertex Group,SMB,2024-05-07
CUST099,Nexus Group,Strategic,2025-03-28
CUST100,Summit Ventures,Strategic,2025-04-18
