discount_id,order_id,discount_percentage,discount_code
DSC0001,ORD0001,0.15,PROMO15
DSC0002,ORD0002,0.15,PROMO15
DSC0003,ORD0003,0.25,REP_AUTH_25
DSC0004,ORD0006,0.2,REP_AUTH_20
DSC0005,ORD0012,0.2,REP_AUTH_20
DSC0006,ORD0014,0.15,PROMO15
DSC0007,ORD0025,0.1,PROMO10
DSC0008,ORD0027,0.05,PROMO5
DSC0009,ORD0028,0.5,REP_AUTH_50
DSC0010,ORD0031,0.2,PROMO20
DSC0011,ORD0032,0.5,REP_AUTH_50
DSC0012,ORD0033,0.3,REP_AUTH_30
DSC0013,ORD0035,0.05,PROMO5
DSC0014,ORD0038,0.2,REP_AUTH_20
DSC0015,ORD0046,0.25,REP_AUTH_25
DSC0016,ORD0048,0.1,PROMO10
DSC0017,ORD0051,0.1,PROMO10
DSC0018,ORD0054,0.05,PROMO5
DSC0019,ORD0057,0.4,REP_AUTH_40
DSC0020,ORD0058,0.25,REP_AUTH_25
DSC0021,ORD0059,0.1,PROMO10
DSC0022,ORD0060,0.4,REP_AUTH_40
DSC0023,ORD0068,0.25,REP_AUTH_25
DSC0024,ORD0070,0.1,PROMO10
DSC0025,ORD0072,0.4,REP_AUTH_40
DSC0026,ORD0076,0.1,PROMO10
DSC0027,ORD0081,0.25,REP_AUTH_25
DSC0028,ORD0086,0.1,PROMO10
DSC0029,ORD0089,0.25,REP_AUTH_25
DSC0030,ORD0091,0.1,PROMO10
DSC0031,ORD0092,0.15,PROMO15
DSC0032,ORD0096,0.2,PROMO20
DSC0033,ORD0107,0.05,PROMO5
DSC0034,ORD0108,0.3,REP_AUTH_30
DSC0035,ORD0110,0.4,REP_AUTH_40
DSC0036,ORD0114,0.05,PROMO5
DSC0037,ORD0115,0.05,PROMO5
DSC0038,ORD0117,0.05,PROMO5
DSC0039,ORD0123,0.05,PROMO5
DSC0040,ORD0124,0.15,PROMO15
DSC0041,ORD0127,0.1,PROMO10
DSC0042,ORD0128,0.2,PROMO20
DSC0043,ORD0129,0.15,PROMO15
DSC0044,ORD0130,0.05,PROMO5
DSC0045,ORD0131,0.2,REP_AUTH_20
DSC0046,ORD0132,0.05,PROMO5
DSC0047,ORD0134,0.1,PROMO10
DSC0048,ORD0135,0.1,PROMO10
DSC0049,ORD0136,0.15,PROMO15
DSC0050,ORD0137,0.1,PROMO10
DSC0051,ORD0138,0.15,PROMO15
DSC0052,ORD0139,0.4,REP_AUTH_40
DSC0053,ORD0145,0.1,PROMO10
DSC0054,ORD0148,0.2,REP_AUTH_20
DSC0055,ORD0150,0.15,PROMO15
DSC0056,ORD0154,0.05,PROMO5
DSC0057,ORD0158,0.15,PROMO15
DSC0058,ORD0163,0.2,REP_AUTH_20
DSC0059,ORD0170,0.15,PROMO15
DSC0060,ORD0172,0.3,REP_AUTH_30
DSC0061,ORD0174,0.2,REP_AUTH_20
DSC0062,ORD0175,0.4,REP_AUTH_40
DSC0063,ORD0179,0.1,PROMO10
DSC0064,ORD0181,0.2,PROMO20
DSC0065,ORD0182,0.5,REP_AUTH_50
DSC0066,ORD0183,0.2,PROMO20
DSC0067,ORD0187,0.05,PROMO5
DSC0068,ORD0189,0.3,REP_AUTH_30
DSC0069,ORD0190,0.1,PROMO10
DSC0070,ORD0193,0.4,REP_AUTH_40
DSC0071,ORD0194,0.2,REP_AUTH_20
DSC0072,ORD0195,0.25,REP_AUTH_25
DSC0073,ORD0196,0.15,PROMO15
DSC0074,ORD0200,0.1,PROMO10
DSC0075,ORD0204,0.25,REP_AUTH_25
DSC0076,ORD0209,0.05,PROMO5
DSC0077,ORD0212,0.4,REP_AUTH_40
DSC0078,ORD0213,0.25,REP_AUTH_25
DSC0079,ORD0217,0.2,REP_AUTH_20
DSC0080,ORD0218,0.25,REP_AUTH_25
DSC0081,ORD0219,0.05,PROMO5
DSC0082,ORD0222,0.25,REP_AUTH_25
DSC0083,ORD0227,0.2,REP_AUTH_20
DSC0084,ORD0228,0.25,REP_AUTH_25
DSC0085,ORD0233,0.5,REP_AUTH_50
DSC0086,ORD0239,0.1,PROMO10
DSC0087,ORD0240,0.1,PROMO10
DSC0088,ORD0241,0.05,PROMO5
DSC0089,ORD0244,0.2,REP_AUTH_20
DSC0090,ORD0245,0.2,REP_AUTH_20
DSC0091,ORD0247,0.05,PROMO5
DSC0092,ORD0251,0.15,PROMO15
DSC0093,ORD0256,0.05,PROMO5
DSC0094,ORD0258,0.25,REP_AUTH_25
DSC0095,ORD0259,0.05,PROMO5
DSC0096,ORD0260,0.4,REP_AUTH_40
DSC0097,ORD0263,0.05,PROMO5
DSC0098,ORD0266,0.15,PROMO15
DSC0099,ORD0267,0.1,PROMO10
DSC0100,ORD0268,0.25,REP_AUTH_25
DSC0101,ORD0269,0.1,PROMO10
DSC0102,ORD0270,0.15,PROMO15
DSC0103,ORD0271,0.15,PROMO15
DSC0104,ORD0274,0.3,REP_AUTH_30
DSC0105,ORD0277,0.05,PROMO5
DSC0106,ORD0280,0.05,PROMO5
DSC0107,ORD0281,0.2,REP_AUTH_20
DSC0108,ORD0283,0.05,PROMO5
DSC0109,ORD0285,0.25,REP_AUTH_25
DSC0110,ORD0291,0.4,REP_AUTH_40
DSC0111,ORD0292,0.15,PROMO15
DSC0112,ORD0294,0.5,REP_AUTH_50
DSC0113,ORD0296,0.15,PROMO15
DSC0114,ORD0299,0.05,PROMO5
DSC0115,ORD0300,0.05,PROMO5
DSC0116,ORD0306,0.2,PROMO20
DSC0117,ORD0308,0.1,PROMO10
DSC0118,ORD0312,0.1,PROMO10
DSC0119,ORD0315,0.1,PROMO10
DSC0120,ORD0320,0.1,PROMO10
DSC0121,ORD0321,0.1,PROMO10
DSC0122,ORD0324,0.1,PROMO10
DSC0123,ORD0327,0.3,REP_AUTH_30
DSC0124,ORD0330,0.05,PROMO5
DSC0125,ORD0331,0.3,REP_AUTH_30
DSC0126,ORD0332,0.25,REP_AUTH_25
DSC0127,ORD0333,0.25,REP_AUTH_25
DSC0128,ORD0335,0.2,REP_AUTH_20
DSC0129,ORD0336,0.5,REP_AUTH_50
DSC0130,ORD0338,0.1,PROMO10
DSC0131,ORD0341,0.1,PROMO10
DSC0132,ORD0343,0.2,PROMO20
DSC0133,ORD0345,0.15,PROMO15
DSC0134,ORD0347,0.2,REP_AUTH_20
DSC0135,ORD0348,0.25,REP_AUTH_25
DSC0136,ORD0349,0.1,PROMO10
DSC0137,ORD0350,0.3,REP_AUTH_30
DSC0138,ORD0351,0.1,PROMO10
DSC0139,ORD0352,0.15,PROMO15
DSC0140,ORD0357,0.25,REP_AUTH_25
DSC0141,ORD0359,0.05,PROMO5
