spend_id,region_id,campaign_month,marketing_channel,spend_amount
MKT0001,REG01,2024-07,SEO,3424.21
MKT0002,REG01,2024-07,PPC,2471.26
MKT0003,REG01,2024-07,Events,3141.83
MKT0004,REG01,2024-07,Email,3275.26
MKT0005,REG02,2024-07,SEO,2391.45
MKT0006,REG02,2024-07,PPC,1826.94
MKT0007,REG02,2024-07,Events,2236.97
MKT0008,REG02,2024-07,Email,2146.36
MKT0009,REG03,2024-07,SEO,1220.03
MKT0010,REG03,2024-07,PPC,1713.19
MKT0011,REG03,2024-07,Events,1548.54
MKT0012,REG03,2024-07,Email,1687.9
MKT0013,REG04,2024-07,SEO,1685.12
MKT0014,REG04,2024-07,PPC,1370.9
MKT0015,REG04,2024-07,Events,1670.02
MKT0016,REG04,2024-07,Email,1574.27
MKT0017,REG01,2024-08,SEO,3306.06
MKT0018,REG01,2024-08,PPC,2694.72
MKT0019,REG01,2024-08,Events,3450.18
MKT0020,REG01,2024-08,Email,2753.45
MKT0021,REG02,2024-08,SEO,1797.03
MKT0022,REG02,2024-08,PPC,2335.31
MKT0023,REG02,2024-08,Events,2073.68
MKT0024,REG02,2024-08,Email,1705.81
MKT0025,REG03,2024-08,SEO,1687.11
MKT0026,REG03,2024-08,PPC,1215.99
MKT0027,REG03,2024-08,Events,1538.6
MKT0028,REG03,2024-08,Email,1644.25
MKT0029,REG04,2024-08,SEO,1799.89
MKT0030,REG04,2024-08,PPC,1338.29
MKT0031,REG04,2024-08,Events,1275.8
MKT0032,REG04,2024-08,Email,1779.55
MKT0033,REG01,2024-09,SEO,2723.36
MKT0034,REG01,2024-09,PPC,2724.27
MKT0035,REG01,2024-09,Events,2594.03
MKT0036,REG01,2024-09,Email,3095.75
MKT0037,REG02,2024-09,SEO,1955.46
MKT0038,REG02,2024-09,PPC,1866.67
MKT0039,REG02,2024-09,Events,2078.76
MKT0040,REG02,2024-09,Email,1850.45
MKT0041,REG03,2024-09,SEO,1724.74
MKT0042,REG03,2024-09,PPC,1560.69
MKT0043,REG03,2024-09,Events,1280.34
MKT0044,REG03,2024-09,Email,1233.87
MKT0045,REG04,2024-09,SEO,1285.59
MKT0046,REG04,2024-09,PPC,1780.19
MKT0047,REG04,2024-09,Events,1440.89
MKT0048,REG04,2024-09,Email,1245.15
MKT0049,REG01,2024-10,SEO,3837.27
MKT0050,REG01,2024-10,PPC,4037.28
MKT0051,REG01,2024-10,Events,3553.45
MKT0052,REG01,2024-10,Email,3222.28
MKT0053,REG02,2024-10,SEO,2095.48
MKT0054,REG02,2024-10,PPC,2269.54
MKT0055,REG02,2024-10,Events,2885.87
MKT0056,REG02,2024-10,Email,2358.93
MKT0057,REG03,2024-10,SEO,1632.47
MKT0058,REG03,2024-10,PPC,1718.46
MKT0059,REG03,2024-10,Events,1909.55
MKT0060,REG03,2024-10,Email,2045.26
MKT0061,REG04,2024-10,SEO,2181.53
MKT0062,REG04,2024-10,PPC,2017.05
MKT0063,REG04,2024-10,Events,1701.03
MKT0064,REG04,2024-10,Email,1908.14
MKT0065,REG01,2024-11,SEO,4216.67
MKT0066,REG01,2024-11,PPC,3275.8
MKT0067,REG01,2024-11,Events,3700.91
