target_id,region_id,target_month,target_revenue
TGT001,REG01,2024-07,60000.0
TGT002,REG02,2024-07,40000.0
TGT003,REG03,2024-07,30000.0
TGT004,REG04,2024-07,15000.0
TGT005,REG01,2024-08,62500.0
TGT006,REG02,2024-08,41800.0
TGT007,REG03,2024-08,31200.0
TGT008,REG04,2024-08,15800.0
TGT009,REG01,2024-09,65000.0
TGT010,REG02,2024-09,43600.0
TGT011,REG03,2024-09,32400.0
TGT012,REG04,2024-09,16600.0
TGT013,REG01,2024-10,67500.0
TGT014,REG02,2024-10,45400.0
TGT015,REG03,2024-10,33600.0
TGT016,REG04,2024-10,17400.0
TGT017,REG01,2024-11,87500.0
TGT018,REG02,2024-11,59000.0
TGT019,REG03,2024-11,43500.0
TGT020,REG04,2024-11,22750.0
TGT021,REG01,2024-12,90625.0
TGT022,REG02,2024-12,61250.0
TGT023,REG03,2024-12,45000.0
TGT024,REG04,2024-12,23750.0
TGT025,REG01,2025-01,75000.0
TGT026,REG02,2025-01,50800.0
TGT027,REG03,2025-01,37200.0
TGT028,REG04,2025-01,19800.0
TGT029,REG01,2025-02,77500.0
TGT030,REG02,2025-02,52600.0
TGT031,REG03,2025-02,38400.0
TGT032,REG04,2025-02,20600.0
TGT033,REG01,2025-03,80000.0
TGT034,REG02,2025-03,54400.0
TGT035,REG03,2025-03,39600.0
TGT036,REG04,2025-03,21400.0
TGT037,REG01,2025-04,82500.0
TGT038,REG02,2025-04,56200.0
TGT039,REG03,2025-04,40800.0
TGT040,REG04,2025-04,22200.0
TGT041,REG01,2025-05,85000.0
TGT042,REG02,2025-05,58000.0
TGT043,REG03,2025-05,42000.0
TGT044,REG04,2025-05,23000.0
TGT045,REG01,2025-06,87500.0
TGT046,REG02,2025-06,59800.0
TGT047,REG03,2025-06,43200.0
TGT048,REG04,2025-06,23800.0
TGT049,REG01,2025-07,90000.0
TGT050,REG02,2025-07,61600.0
TGT051,REG03,2025-07,44400.0
TGT052,REG04,2025-07,24600.0
TGT053,REG01,2025-08,92500.0
TGT054,REG02,2025-08,63400.0
TGT055,REG03,2025-08,45600.0
TGT056,REG04,2025-08,25400.0
TGT057,REG01,2025-09,95000.0
TGT058,REG02,2025-09,65200.0
TGT059,REG03,2025-09,46800.0
TGT060,REG04,2025-09,26200.0
TGT061,REG01,2025-10,97500.0
TGT062,REG02,2025-10,67000.0
TGT063,REG03,2025-10,48000.0
TGT064,REG04,2025-10,27000.0
TGT065,REG01,2025-11,125000.0
TGT066,REG02,2025-11,86000.0
TGT067,REG03,2025-11,61500.0
TGT068,REG04,2025-11,34750.0
TGT069,REG01,2025-12,128125.0
TGT070,REG02,2025-12,88250.0
TGT071,REG03,2025-12,63000.0
TGT072,REG04,2025-12,35750.0
TGT073,REG01,2026-01,105000.0
TGT074,REG02,2026-01,72400.0
TGT075,REG03,2026-01,51600.0
TGT076,REG04,2026-01,29400.0
TGT077,REG01,2026-02,107500.0
TGT078,REG02,2026-02,74200.0
TGT079,REG03,2026-02,52800.0
TGT080,REG04,2026-02,30200.0
TGT081,REG01,2026-03,110000.0
TGT082,REG02,2026-03,76000.0
TGT083,REG03,2026-03,54000.0
TGT084,REG04,2026-03,31000.0
TGT085,REG01,2026-04,112500.0
TGT086,REG02,2026-04,77800.0
TGT087,REG03,2026-04,55200.0
TGT088,REG04,2026-04,31800.0
TGT089,REG01,2026-05,115000.0
TGT090,REG02,2026-05,79600.0
TGT091,REG03,2026-05,56400.0
TGT092,REG04,2026-05,32600.0
TGT093,REG01,2026-06,117500.0
TGT094,REG02,2026-06,81400.0
TGT095,REG03,2026-06,57600.0
TGT096,REG04,2026-06,33400.0
