order_item_id,order_id,product_id,quantity,unit_price
ITEM00001,ORD0001,PROD001,6,5000.0
ITEM00002,ORD0001,PROD004,9,450.0
ITEM00003,ORD0002,PROD012,7,1200.0
ITEM00004,ORD0003,PROD004,3,450.0
ITEM00005,ORD0004,PROD015,3,4000.0
ITEM00006,ORD0005,PROD014,1,300.0
ITEM00007,ORD0005,PROD001,2,5000.0
ITEM00008,ORD0005,PROD005,2,1500.0
ITEM00009,ORD0006,PROD007,3,120.0
ITEM00010,ORD0006,PROD005,1,1500.0
ITEM00011,ORD0007,PROD006,1,8500.0
ITEM00012,ORD0008,PROD015,5,4000.0
ITEM00013,ORD0008,PROD007,6,120.0
ITEM00014,ORD0008,PROD011,6,6000.0
ITEM00015,ORD0009,PROD005,2,1500.0
ITEM00016,ORD0010,PROD002,2,1200.0
ITEM00017,ORD0011,PROD006,8,8500.0
ITEM00018,ORD0011,PROD009,7,3500.0
ITEM00019,ORD0012,PROD012,5,1200.0
ITEM00020,ORD0012,PROD002,2,1200.0
ITEM00021,ORD0012,PROD014,5,300.0
ITEM00022,ORD0013,PROD002,4,1200.0
ITEM00023,ORD0014,PROD009,2,3500.0
ITEM00024,ORD0014,PROD015,2,4000.0
ITEM00025,ORD0015,PROD014,2,300.0
ITEM00026,ORD0015,PROD009,3,3500.0
ITEM00027,ORD0016,PROD008,3,2200.0
ITEM00028,ORD0017,PROD004,2,450.0
ITEM00029,ORD0017,PROD002,3,1200.0
ITEM00030,ORD0018,PROD011,5,6000.0
ITEM00031,ORD0018,PROD002,7,1200.0
ITEM00032,ORD0018,PROD003,2,800.0
ITEM00033,ORD0019,PROD001,20,5000.0
ITEM00034,ORD0020,PROD005,1,1500.0
ITEM00035,ORD0021,PROD007,3,120.0
ITEM00036,ORD0022,PROD009,6,3500.0
ITEM00037,ORD0022,PROD006,16,8500.0
ITEM00038,ORD0023,PROD012,11,1200.0
ITEM00039,ORD0023,PROD007,17,120.0
ITEM00040,ORD0024,PROD010,2,2500.0
ITEM00041,ORD0025,PROD001,3,5000.0
ITEM00042,ORD0026,PROD002,1,1200.0
ITEM00043,ORD0027,PROD004,8,450.0
ITEM00044,ORD0027,PROD002,17,1200.0
ITEM00045,ORD0028,PROD012,13,1200.0
ITEM00046,ORD0029,PROD004,2,450.0
ITEM00047,ORD0030,PROD005,5,1500.0
ITEM00048,ORD0030,PROD012,20,1200.0
ITEM00049,ORD0031,PROD012,2,1200.0
ITEM00050,ORD0031,PROD004,1,450.0
ITEM00051,ORD0031,PROD003,2,800.0
ITEM00052,ORD0032,PROD008,2,2200.0
ITEM00053,ORD0033,PROD005,1,1500.0
ITEM00054,ORD0034,PROD001,2,5000.0
ITEM00055,ORD0034,PROD010,3,2186.61
ITEM00056,ORD0035,PROD001,1,5000.0
ITEM00057,ORD0036,PROD014,3,300.0
ITEM00058,ORD0036,PROD004,8,450.0
ITEM00059,ORD0036,PROD009,4,3500.0
ITEM00060,ORD0036,PROD013,4,600.0
ITEM00061,ORD0037,PROD009,7,3500.0
ITEM00062,ORD0037,PROD005,4,1500.0
ITEM00063,ORD0038,PROD005,6,1500.0
ITEM00064,ORD0038,PROD012,8,1200.0
ITEM00065,ORD0038,PROD006,8,8500.0
ITEM00066,ORD0039,PROD011,3,6000.0
ITEM00067,ORD0040,PROD007,1,120.0
ITEM00068,ORD0041,PROD008,5,2200.0
ITEM00069,ORD0042,PROD007,3,120.0
ITEM00070,ORD0042,PROD006,3,8500.0
ITEM00071,ORD0043,PROD002,2,1200.0
ITEM00072,ORD0044,PROD015,3,4000.0
ITEM00073,ORD0044,PROD008,3,2200.0
ITEM00074,ORD0045,PROD010,18,2500.0
ITEM00075,ORD0046,PROD004,6,450.0
ITEM00076,ORD0047,PROD014,2,300.0
ITEM00077,ORD0047,PROD010,5,2500.0
ITEM00078,ORD0048,PROD006,1,8500.0
ITEM00079,ORD0048,PROD005,2,1500.0
ITEM00080,ORD0049,PROD011,1,6000.0
ITEM00081,ORD0050,PROD009,7,3500.0
ITEM00082,ORD0051,PROD002,2,849.83
ITEM00083,ORD0052,PROD010,1,2500.0
ITEM00084,ORD0053,PROD007,16,120.0
ITEM00085,ORD0054,PROD005,1,1500.0
ITEM00086,ORD0055,PROD014,3,300.0
ITEM00087,ORD0056,PROD003,13,800.0
ITEM00088,ORD0056,PROD002,11,1200.0
ITEM00089,ORD0057,PROD005,2,1500.0
ITEM00090,ORD0057,PROD004,1,450.0
ITEM00091,ORD0057,PROD001,3,5000.0
ITEM00092,ORD0058,PROD015,1,4000.0
ITEM00093,ORD0059,PROD010,6,2500.0
ITEM00094,ORD0059,PROD005,4,1500.0
ITEM00095,ORD0059,PROD003,3,800.0
ITEM00096,ORD0060,PROD003,2,800.0
ITEM00097,ORD0061,PROD002,4,1200.0
ITEM00098,ORD0062,PROD009,2,3500.0
ITEM00099,ORD0062,PROD003,2,800.0
ITEM00100,ORD0063,PROD012,3,1200.0
ITEM00101,ORD0063,PROD006,3,8500.0
ITEM00102,ORD0064,PROD008,5,2200.0
ITEM00103,ORD0065,PROD015,5,4000.0
ITEM00104,ORD0066,PROD013,1,600.0
ITEM00105,ORD0067,PROD004,3,450.0
ITEM00106,ORD0068,PROD009,3,3500.0
ITEM00107,ORD0069,PROD014,17,300.0
ITEM00108,ORD0070,PROD008,19,2200.0
ITEM00109,ORD0070,PROD013,7,600.0
ITEM00110,ORD0071,PROD011,3,6000.0
ITEM00111,ORD0071,PROD002,2,1200.0
ITEM00112,ORD0071,PROD006,3,8500.0
ITEM00113,ORD0072,PROD012,6,1200.0
ITEM00114,ORD0073,PROD001,1,5000.0
ITEM00115,ORD0073,PROD012,3,1200.0
ITEM00116,ORD0074,PROD004,7,450.0
ITEM00117,ORD0075,PROD011,4,6000.0
ITEM00118,ORD0076,PROD013,3,600.0
ITEM00119,ORD0076,PROD008,1,1805.67
ITEM00120,ORD0076,PROD010,1,2500.0
ITEM00121,ORD0077,PROD002,5,961.39
ITEM00122,ORD0078,PROD015,2,4000.0
ITEM00123,ORD0079,PROD003,1,800.0
ITEM00124,ORD0080,PROD014,3,300.0
ITEM00125,ORD0080,PROD010,3,2500.0
ITEM00126,ORD0081,PROD011,1,6000.0
ITEM00127,ORD0082,PROD011,11,6000.0
ITEM00128,ORD0082,PROD004,14,450.0
ITEM00129,ORD0082,PROD003,8,800.0
ITEM00130,ORD0083,PROD011,13,6000.0
ITEM00131,ORD0084,PROD002,2,1200.0
ITEM00132,ORD0084,PROD008,1,1741.12
ITEM00133,ORD0085,PROD001,2,4150.42
ITEM00134,ORD0085,PROD010,3,2500.0
ITEM00135,ORD0086,PROD015,16,4000.0
ITEM00136,ORD0087,PROD012,2,1200.0
ITEM00137,ORD0088,PROD006,2,8500.0
ITEM00138,ORD0088,PROD009,3,3500.0
