order_id,customer_id,sales_rep_id,region_id,order_date,shipping_date,order_status,sales_channel,delay_days
ORD0001,CUST036,REP04,REG02,2024-07-01,2024-07-04,Completed,Partner,3
ORD0002,CUST075,REP06,REG03,2024-07-01,2024-07-04,Completed,Partner,3
ORD0003,CUST097,REP05,REG03,2024-07-02,2024-07-06,Completed,Direct,4
ORD0004,CUST067,REP04,REG02,2024-07-05,2024-07-09,Completed,Direct,4
ORD0005,CUST030,REP04,REG02,2024-07-05,2024-07-06,Completed,Direct,1
ORD0006,CUST074,REP05,REG03,2024-07-05,2024-07-07,Cancelled,Direct,2
ORD0007,CUST044,REP01,REG01,2024-07-06,2024-07-07,Cancelled,Direct,1
ORD0008,CUST052,REP02,REG01,2024-07-06,2024-07-08,Completed,Online,2
ORD0009,CUST079,REP02,REG01,2024-07-09,2024-07-11,Completed,Direct,2
ORD0010,CUST016,REP04,REG02,2024-07-10,2024-07-12,Returned,Partner,2
ORD0011,CUST043,REP02,REG01,2024-07-11,2024-07-13,Completed,Online,2
ORD0012,CUST029,REP05,REG03,2024-07-12,2024-07-14,Returned,Online,2
ORD0013,CUST043,REP03,REG02,2024-07-13,2024-07-15,Completed,Online,2
ORD0014,CUST080,REP04,REG02,2024-07-13,2024-07-15,Completed,Online,2
ORD0015,CUST018,REP04,REG02,2024-07-14,2024-07-16,Completed,Online,2
ORD0016,CUST042,REP06,REG03,2024-07-14,2024-07-15,Completed,Online,1
ORD0017,CUST068,REP01,REG01,2024-07-15,2024-07-17,Completed,Online,2
ORD0018,CUST069,REP04,REG02,2024-07-17,2024-07-19,Completed,Online,2
ORD0019,CUST027,REP01,REG01,2024-07-17,2024-07-20,Completed,Online,3
ORD0020,CUST042,REP08,REG04,2024-07-17,2024-07-19,Completed,Partner,2
ORD0021,CUST100,REP08,REG04,2024-07-19,2024-07-30,Returned,Online,11
ORD0022,CUST087,REP07,REG04,2024-07-19,2024-07-30,Returned,Online,11
ORD0023,CUST047,REP04,REG02,2024-07-20,2024-07-22,Completed,Online,2
ORD0024,CUST098,REP05,REG03,2024-07-21,2024-07-23,Completed,Direct,2
ORD0025,CUST041,REP02,REG01,2024-07-22,2024-07-23,Completed,Direct,1
ORD0026,CUST077,REP07,REG04,2024-07-23,2024-08-01,Completed,Online,9
ORD0027,CUST066,REP01,REG01,2024-07-23,2024-07-24,Returned,Online,1
ORD0028,CUST071,REP07,REG04,2024-07-24,2024-08-02,Cancelled,Online,9
ORD0029,CUST062,REP08,REG04,2024-07-24,2024-07-31,Returned,Online,7
ORD0030,CUST035,REP03,REG02,2024-07-24,2024-07-28,Completed,Partner,4
ORD0031,CUST062,REP01,REG01,2024-07-24,2024-07-25,Completed,Direct,1
ORD0032,CUST067,REP07,REG04,2024-07-24,2024-07-28,Completed,Direct,4
ORD0033,CUST017,REP07,REG04,2024-07-24,2024-07-25,Completed,Online,1
ORD0034,CUST016,REP06,REG03,2024-07-27,2024-07-30,Completed,Online,3
ORD0035,CUST006,REP04,REG02,2024-07-29,2024-07-31,Completed,Online,2
ORD0036,CUST031,REP02,REG01,2024-07-29,2024-07-31,Completed,Online,2
ORD0037,CUST018,REP02,REG01,2024-07-30,2024-07-31,Completed,Partner,1
ORD0038,CUST069,REP05,REG03,2024-07-31,2024-08-01,Completed,Direct,1
ORD0039,CUST051,REP04,REG02,2024-08-01,2024-08-02,Completed,Partner,1
ORD0040,CUST062,REP01,REG01,2024-08-01,2024-08-03,Completed,Online,2
ORD0041,CUST082,REP01,REG01,2024-08-03,2024-08-05,Cancelled,Direct,2
ORD0042,CUST081,REP08,REG04,2024-08-03,2024-08-10,Returned,Direct,7
ORD0043,CUST080,REP08,REG04,2024-08-03,2024-08-12,Completed,Direct,9
ORD0044,CUST067,REP08,REG04,2024-08-03,2024-08-07,Completed,Online,4
ORD0045,CUST036,REP08,REG04,2024-08-04,2024-08-07,Completed,Online,3
ORD0046,CUST047,REP05,REG03,2024-08-05,2024-08-06,Completed,Online,1
ORD0047,CUST094,REP04,REG02,2024-08-05,2024-08-07,Completed,Online,2
ORD0048,CUST006,REP08,REG04,2024-08-07,2024-08-14,Completed,Direct,7
ORD0049,CUST076,REP06,REG03,2024-08-08,2024-08-10,Cancelled,Direct,2
ORD0050,CUST038,REP06,REG03,2024-08-08,2024-08-11,Completed,Direct,3
ORD0051,CUST077,REP06,REG03,2024-08-08,2024-08-09,Completed,Partner,1
ORD0052,CUST080,REP08,REG04,2024-08-08,2024-08-11,Completed,Partner,3
ORD0053,CUST061,REP02,REG01,2024-08-09,2024-08-10,Completed,Direct,1
ORD0054,CUST009,REP03,REG02,2024-08-09,2024-08-10,Completed,Online,1
ORD0055,CUST004,REP08,REG04,2024-08-09,2024-08-14,Completed,Online,5
ORD0056,CUST047,REP03,REG02,2024-08-09,2024-08-12,Completed,Partner,3
ORD0057,CUST079,REP07,REG04,2024-08-10,2024-08-12,Completed,Online,2
ORD0058,CUST042,REP05,REG03,2024-08-10,2024-08-12,Completed,Direct,2
ORD0059,CUST069,REP04,REG02,2024-08-13,2024-08-17,Completed,Online,4
ORD0060,CUST088,REP07,REG04,2024-08-13,2024-08-14,Cancelled,Direct,1
ORD0061,CUST037,REP04,REG02,2024-08-14,2024-08-15,Completed,Online,1
ORD0062,CUST060,REP02,REG01,2024-08-14,2024-08-15,Completed,Online,1
ORD0063,CUST050,REP04,REG02,2024-08-15,2024-08-17,Completed,Online,2
ORD0064,CUST029,REP05,REG03,2024-08-17,2024-08-19,Completed,Online,2
ORD0065,CUST026,REP05,REG03,2024-08-18,2024-08-20,Completed,Direct,2
ORD0066,CUST067,REP05,REG03,2024-08-18,2024-08-23,Completed,Online,5
ORD0067,CUST083,REP08,REG04,2024-08-18,2024-08-22,Completed,Direct,4
ORD0068,CUST041,REP05,REG03,2024-08-18,2024-08-20,Completed,Partner,2
ORD0069,CUST047,REP01,REG01,2024-08-18,2024-08-19,Completed,Online,1
ORD0070,CUST036,REP08,REG04,2024-08-19,2024-08-28,Cancelled,Partner,9
ORD0071,CUST055,REP08,REG04,2024-08-19,2024-08-21,Completed,Direct,2
ORD0072,CUST039,REP07,REG04,2024-08-19,2024-08-28,Completed,Online,9
ORD0073,CUST054,REP02,REG01,2024-08-19,2024-08-23,Completed,Direct,4
ORD0074,CUST099,REP01,REG01,2024-08-21,2024-08-23,Completed,Online,2
ORD0075,CUST005,REP08,REG04,2024-08-22,2024-09-02,Returned,Direct,11
ORD0076,CUST089,REP08,REG04,2024-08-22,2024-08-24,Completed,Online,2
ORD0077,CUST010,REP01,REG01,2024-08-23,2024-08-24,Completed,Direct,1
ORD0078,CUST014,REP02,REG01,2024-08-23,2024-08-25,Completed,Online,2
ORD0079,CUST068,REP05,REG03,2024-08-25,2024-08-27,Completed,Partner,2
ORD0080,CUST083,REP07,REG04,2024-08-25,2024-09-05,Completed,Online,11
ORD0081,CUST074,REP07,REG04,2024-08-26,2024-09-04,Cancelled,Direct,9
ORD0082,CUST072,REP08,REG04,2024-08-26,2024-09-02,Returned,Online,7
ORD0083,CUST040,REP08,REG04,2024-08-27,2024-08-31,Completed,Partner,4
ORD0084,CUST068,REP07,REG04,2024-08-27,2024-08-31,Completed,Online,4
ORD0085,CUST008,REP03,REG02,2024-08-27,2024-08-29,Cancelled,Direct,2
ORD0086,CUST072,REP02,REG01,2024-08-28,2024-08-29,Returned,Direct,1
ORD0087,CUST090,REP03,REG02,2024-08-30,2024-09-02,Completed,Partner,3
ORD0088,CUST097,REP05,REG03,2024-08-30,2024-09-01,Completed,Direct,2
ORD0089,CUST082,REP07,REG04,2024-08-31,2024-09-01,Completed,Partner,1
ORD0090,CUST026,REP05,REG03,2024-08-31,2024-09-02,Completed,Online,2
ORD0091,CUST097,REP02,REG01,2024-09-02,2024-09-04,Completed,Direct,2
ORD0092,CUST057,REP01,REG01,2024-09-02,2024-09-04,Completed,Online,2
ORD0093,CUST017,REP03,REG02,2024-09-03,2024-09-05,Completed,Online,2
ORD0094,CUST035,REP08,REG04,2024-09-03,2024-09-08,Completed,Direct,5
