return_id,order_id,return_date,return_reason
RET001,ORD0010,2024-07-20,Unsatisfied
RET002,ORD0012,2024-07-17,Defective
RET003,ORD0021,2024-08-06,Unsatisfied
RET004,ORD0022,2024-08-01,Late Delivery
RET005,ORD0027,2024-07-31,Defective
RET006,ORD0029,2024-08-08,Late Delivery
RET007,ORD0042,2024-08-17,Wrong Item
RET008,ORD0075,2024-09-12,Unsatisfied
RET009,ORD0082,2024-09-08,Late Delivery
RET010,ORD0086,2024-09-03,Defective
RET011,ORD0101,2024-09-17,Defective
RET012,ORD0110,2024-09-21,Unsatisfied
RET013,ORD0112,2024-09-26,Late Delivery
RET014,ORD0114,2024-09-23,Defective
RET015,ORD0115,2024-09-22,Wrong Item
RET016,ORD0116,2024-10-02,Late Delivery
RET017,ORD0118,2024-09-28,Late Delivery
RET018,ORD0137,2024-10-18,Unsatisfied
RET019,ORD0143,2024-10-11,Late Delivery
RET020,ORD0157,2024-10-13,Unsatisfied
RET021,ORD0158,2024-10-21,Late Delivery
RET022,ORD0169,2024-10-27,Late Delivery
RET023,ORD0173,2024-10-14,Wrong Item
RET024,ORD0174,2024-10-31,Late Delivery
RET025,ORD0190,2024-10-26,Defective
RET026,ORD0201,2024-11-04,Unsatisfied
RET027,ORD0202,2024-11-04,Unsatisfied
RET028,ORD0204,2024-11-07,Unsatisfied
RET029,ORD0209,2024-11-07,Late Delivery
RET030,ORD0211,2024-11-06,Defective
RET031,ORD0212,2024-11-07,Unsatisfied
RET032,ORD0215,2024-11-06,Unsatisfied
RET033,ORD0223,2024-11-21,Late Delivery
RET034,ORD0226,2024-11-25,Late Delivery
RET035,ORD0256,2024-12-01,Wrong Item
RET036,ORD0263,2024-12-09,Wrong Item
RET037,ORD0270,2024-12-01,Wrong Item
RET038,ORD0271,2024-12-09,Wrong Item
RET039,ORD0272,2024-12-07,Defective
RET040,ORD0274,2024-12-11,Late Delivery
RET041,ORD0279,2024-12-08,Defective
RET042,ORD0281,2024-12-03,Wrong Item
RET043,ORD0282,2024-12-11,Late Delivery
RET044,ORD0294,2024-12-25,Late Delivery
RET045,ORD0299,2024-12-27,Late Delivery
RET046,ORD0303,2024-12-18,Unsatisfied
RET047,ORD0307,2024-12-22,Unsatisfied
RET048,ORD0313,2025-01-02,Late Delivery
RET049,ORD0327,2025-01-03,Late Delivery
RET050,ORD0328,2024-12-29,Wrong Item
RET051,ORD0331,2025-01-01,Unsatisfied
RET052,ORD0357,2025-01-19,Late Delivery
RET053,ORD0360,2025-01-09,Unsatisfied
RET054,ORD0365,2025-01-05,Defective
RET055,ORD0375,2025-01-19,Late Delivery
RET056,ORD0385,2025-01-18,Unsatisfied
RET057,ORD0389,2025-01-26,Unsatisfied
RET058,ORD0399,2025-02-04,Wrong Item
RET059,ORD0402,2025-02-03,Defective
RET060,ORD0409,2025-02-10,Wrong Item
RET061,ORD0422,2025-02-19,Wrong Item
RET062,ORD0426,2025-02-26,Wrong Item
RET063,ORD0436,2025-03-04,Wrong Item
RET064,ORD0437,2025-03-04,Unsatisfied
RET065,ORD0440,2025-03-19,Wrong Item
RET066,ORD0442,2025-03-03,Wrong Item
RET067,ORD0448,2025-03-20,Late Delivery
RET068,ORD0450,2025-03-10,Defective
RET069,ORD0452,2025-03-17,Unsatisfied
RET070,ORD0455,2025-03-27,Late Delivery
RET071,ORD0456,2025-03-28,Late Delivery
RET072,ORD0457,2025-03-15,Unsatisfied
RET073,ORD0461,2025-03-29,Unsatisfied
RET074,ORD0471,2025-03-27,Unsatisfied
RET075,ORD0489,2025-04-08,Wrong Item
RET076,ORD0508,2025-04-23,Late Delivery
RET077,ORD0525,2025-04-16,Wrong Item
RET078,ORD0548,2025-05-08,Late Delivery
RET079,ORD0552,2025-05-14,Late Delivery
RET080,ORD0559,2025-05-17,Wrong Item
RET081,ORD0567,2025-05-07,Wrong Item
RET082,ORD0580,2025-05-21,Wrong Item
RET083,ORD0582,2025-05-28,Unsatisfied
RET084,ORD0588,2025-05-29,Unsatisfied
RET085,ORD0592,2025-05-28,Defective
RET086,ORD0594,2025-05-26,Unsatisfied
RET087,ORD0629,2025-06-27,Wrong Item
RET088,ORD0636,2025-06-29,Late Delivery
RET089,ORD0654,2025-07-11,Wrong Item
RET090,ORD0656,2025-07-17,Unsatisfied
RET091,ORD0667,2025-07-06,Wrong Item
RET092,ORD0677,2025-07-22,Late Delivery
RET093,ORD0689,2025-07-16,Wrong Item
RET094,ORD0701,2025-08-11,Late Delivery
RET095,ORD0707,2025-08-03,Defective
RET096,ORD0718,2025-08-08,Defective
RET097,ORD0720,2025-08-09,Wrong Item
RET098,ORD0733,2025-08-16,Defective
RET099,ORD0734,2025-08-22,Late Delivery
RET100,ORD0740,2025-08-19,Wrong Item
RET101,ORD0743,2025-08-18,Wrong Item
RET102,ORD0752,2025-08-22,Defective
RET103,ORD0760,2025-08-25,Defective
RET104,ORD0761,2025-08-20,Defective
RET105,ORD0762,2025-09-05,Late Delivery
RET106,ORD0763,2025-08-28,Late Delivery
RET107,ORD0788,2025-09-15,Wrong Item
RET108,ORD0797,2025-09-16,Late Delivery
RET109,ORD0803,2025-09-15,Defective
RET110,ORD0826,2025-09-24,Unsatisfied
RET111,ORD0828,2025-10-04,Late Delivery
RET112,ORD0829,2025-10-03,Late Delivery
RET113,ORD0855,2025-10-09,Defective
RET114,ORD0872,2025-10-27,Wrong Item
RET115,ORD0877,2025-10-25,Wrong Item
RET116,ORD0887,2025-10-25,Unsatisfied
RET117,ORD0892,2025-10-25,Late Delivery
RET118,ORD0911,2025-10-29,Wrong Item
RET119,ORD0923,2025-11-01,Unsatisfied
RET120,ORD0926,2025-11-06,Wrong Item
RET121,ORD0935,2025-11-10,Late Delivery
RET122,ORD0938,2025-11-15,Wrong Item
RET123,ORD0944,2025-11-17,Defective
RET124,ORD0953,2025-11-15,Late Delivery
RET125,ORD0954,2025-11-13,Wrong Item
RET126,ORD0967,2025-11-18,Late Delivery
RET127,ORD0981,2025-11-24,Late Delivery
RET128,ORD0986,2025-11-26,Wrong Item
RET129,ORD0993,2025-11-28,Defective
RET130,ORD0996,2025-11-28,Unsatisfied
RET131,ORD0999,2025-11-27,Defective
RET132,ORD1019,2025-12-06,Wrong Item
RET133,ORD1026,2025-12-11,Defective
RET134,ORD1027,2025-12-02,Wrong Item
RET135,ORD1030,2025-12-11,Defective
RET136,ORD1032,2025-12-15,Late Delivery
RET137,ORD1048,2025-12-13,Unsatisfied
RET138,ORD1050,2025-12-12,Wrong Item
RET139,ORD1056,2025-12-19,Late Delivery
RET140,ORD1065,2025-12-25,Unsatisfied
RET141,ORD1069,2025-12-22,Unsatisfied
RET142,ORD1082,2025-12-30,Late Delivery
RET143,ORD1094,2025-12-27,Defective
RET144,ORD1108,2026-01-09,Wrong Item
RET145,ORD1115,2026-01-02,Wrong Item
RET146,ORD1116,2026-01-04,Wrong Item
RET147,ORD1117,2026-01-03,Defective
RET148,ORD1119,2026-01-08,Defective
RET149,ORD1139,2026-01-17,Wrong Item
RET150,ORD1159,2026-01-28,Defective
RET151,ORD1161,2026-01-30,Defective
RET152,ORD1163,2026-02-05,Late Delivery
RET153,ORD1169,2026-02-02,Wrong Item
RET154,ORD1170,2026-02-04,Wrong Item
RET155,ORD1174,2026-01-31,Defective
RET156,ORD1180,2026-02-08,Unsatisfied
RET157,ORD1183,2026-02-17,Late Delivery
RET158,ORD1201,2026-02-12,Unsatisfied
RET159,ORD1207,2026-02-17,Defective
RET160,ORD1210,2026-03-02,Wrong Item
RET161,ORD1221,2026-03-04,Defective
RET162,ORD1223,2026-03-12,Unsatisfied
RET163,ORD1234,2026-03-02,Unsatisfied
RET164,ORD1243,2026-03-11,Wrong Item
RET165,ORD1246,2026-03-09,Wrong Item
RET166,ORD1247,2026-03-11,Late Delivery
RET167,ORD1283,2026-03-30,Late Delivery
RET168,ORD1289,2026-03-26,Unsatisfied
RET169,ORD1296,2026-04-09,Late Delivery
RET170,ORD1306,2026-04-08,Wrong Item
RET171,ORD1333,2026-04-14,Defective
RET172,ORD1340,2026-04-23,Late Delivery
RET173,ORD1356,2026-05-03,Unsatisfied
RET174,ORD1358,2026-05-08,Late Delivery
RET175,ORD1360,2026-05-04,Late Delivery
